chr	start	end	value
Chr01	1	5000	8
Chr01	5000	10000	34
Chr01	5000	10000	34
Chr01	10000	15000	26
Chr01	15000	20000	9
Chr01	20000	25000	11
Chr01	25000	30000	50
Chr01	30000	35000	43
Chr01	35000	40000	38
Chr01	40000	45000	48
Chr01	45000	50000	41
Chr01	50000	55000	22
Chr01	55000	60000	32
Chr01	60000	65000	28
Chr01	65000	70000	17
Chr01	70000	75000	27
Chr01	75000	80000	21
Chr01	80000	85000	26
Chr01	85000	90000	35
Chr01	90000	95000	44
Chr01	95000	100000	23
Chr01	100000	105000	29
Chr01	105000	110000	34
Chr01	110000	115000	17
Chr01	115000	120000	30
Chr01	120000	125000	32
Chr01	125000	130000	23
Chr01	130000	135000	28
Chr01	135000	140000	23
Chr01	140000	145000	18
Chr01	145000	150000	15
Chr01	150000	155000	34
Chr01	155000	160000	41
Chr01	160000	165000	29
Chr01	165000	170000	35
Chr01	170000	175000	21
Chr01	175000	180000	36
Chr01	180000	185000	55
Chr01	185000	190000	29
Chr01	190000	195000	32
Chr01	195000	200000	38
Chr01	200000	205000	12
Chr01	205000	210000	24
Chr01	210000	215000	18
Chr01	215000	220000	21
Chr01	220000	225000	0
Chr01	225000	230000	27
Chr01	230000	235000	21
Chr01	235000	240000	15
Chr01	240000	245000	18
Chr01	245000	250000	32
Chr01	250000	255000	41
Chr01	255000	260000	15
Chr01	260000	265000	27
Chr01	265000	270000	37
Chr01	270000	275000	8
Chr01	275000	280000	17
Chr01	280000	285000	14
Chr01	285000	290000	41
Chr01	290000	295000	21
Chr01	295000	300000	27
Chr01	300000	305000	5
Chr01	305000	310000	40
Chr01	310000	315000	22
Chr01	315000	320000	25
Chr01	320000	325000	0
Chr01	325000	330000	20
Chr01	330000	335000	10
Chr01	335000	340000	21
Chr01	340000	345000	52
Chr01	345000	350000	52
Chr01	350000	355000	30
Chr01	355000	360000	20
Chr01	360000	365000	55
Chr01	365000	370000	41
Chr01	370000	375000	40
Chr01	375000	380000	21
Chr01	380000	385000	12
Chr01	385000	390000	29
Chr01	390000	395000	5
Chr01	395000	400000	14
Chr01	400000	405000	0
Chr01	405000	410000	0
Chr01	410000	415000	6
Chr01	415000	420000	0
Chr01	420000	425000	0
Chr01	425000	430000	12
Chr01	430000	435000	30
Chr01	435000	440000	33
Chr01	440000	445000	35
Chr01	445000	450000	23
Chr01	450000	455000	37
Chr01	455000	460000	50
Chr01	460000	465000	41
Chr01	465000	470000	31
Chr01	470000	475000	42
Chr01	475000	480000	49
Chr01	480000	485000	52
Chr01	485000	490000	31
Chr01	490000	495000	44
Chr01	495000	500000	17
Chr01	500000	505000	19
Chr01	505000	510000	23
Chr01	510000	515000	6
Chr01	515000	520000	39
Chr01	520000	525000	30
Chr01	525000	530000	23
Chr01	530000	535000	29
Chr01	535000	540000	50
Chr01	540000	545000	26
Chr01	545000	550000	32
Chr01	550000	555000	31
Chr01	555000	560000	28
Chr01	560000	565000	50
Chr01	565000	570000	15
Chr01	570000	575000	23
Chr01	575000	580000	11
Chr01	580000	585000	11
Chr01	585000	590000	14
Chr01	590000	595000	23
Chr01	595000	600000	23
Chr01	600000	605000	25
Chr01	605000	610000	19
Chr01	610000	615000	13
Chr01	615000	620000	22
Chr01	620000	625000	19
Chr01	625000	630000	8
Chr01	630000	635000	14
Chr01	635000	640000	37
Chr01	640000	645000	47
Chr01	645000	650000	0
Chr01	650000	655000	23
Chr01	655000	660000	37
Chr01	660000	665000	57
Chr01	665000	670000	38
Chr01	670000	675000	40
Chr01	675000	680000	34
Chr01	680000	685000	38
Chr01	685000	690000	21
Chr01	690000	695000	38
Chr01	695000	700000	31
Chr01	700000	705000	26
Chr01	705000	710000	9
Chr01	710000	715000	6
Chr01	715000	720000	27
Chr01	720000	725000	8
Chr01	725000	730000	14
Chr01	730000	735000	23
Chr01	735000	740000	35
Chr01	740000	745000	20
Chr01	745000	750000	32
Chr01	750000	755000	27
Chr01	755000	760000	38
Chr01	760000	765000	34
Chr01	765000	770000	32
Chr01	770000	775000	24
Chr01	775000	780000	41
Chr01	780000	785000	35
Chr01	785000	790000	44
Chr01	790000	795000	73
Chr01	795000	800000	9
Chr01	800000	805000	18
Chr01	805000	810000	48
Chr01	810000	815000	61
Chr01	815000	820000	45
Chr01	820000	825000	31
Chr01	825000	830000	23
Chr01	830000	835000	27
Chr01	835000	840000	29
Chr01	840000	845000	4
Chr01	845000	850000	20
Chr01	850000	855000	30
Chr01	855000	860000	45
Chr01	860000	865000	18
Chr01	865000	870000	21
Chr01	870000	875000	27
Chr01	875000	880000	31
Chr01	880000	885000	19
Chr01	885000	890000	17
Chr01	890000	895000	20
Chr01	895000	900000	16
Chr01	900000	905000	20
Chr01	905000	910000	0
Chr01	910000	915000	23
Chr01	915000	920000	28
Chr01	920000	925000	20
Chr01	925000	930000	23
Chr01	930000	935000	29
Chr01	935000	940000	11
Chr01	940000	945000	20
Chr01	945000	950000	12
Chr01	950000	955000	21
Chr01	955000	960000	17
Chr01	960000	965000	23
Chr01	965000	970000	17
Chr01	970000	975000	38
Chr01	975000	980000	15
Chr01	980000	985000	60
Chr01	985000	990000	86
Chr01	990000	995000	30
Chr01	995000	1000000	60
Chr01	1000000	1005000	66
Chr01	1005000	1010000	12
Chr01	1010000	1015000	25
Chr01	1015000	1020000	14
Chr01	1020000	1025000	29
Chr01	1025000	1030000	47
Chr01	1030000	1035000	47
Chr01	1035000	1040000	41
Chr01	1040000	1045000	14
Chr01	1045000	1050000	0
Chr01	1050000	1055000	0
Chr01	1055000	1060000	0
Chr01	1060000	1065000	0
Chr01	1065000	1070000	8
Chr01	1070000	1075000	40
Chr01	1075000	1080000	41
Chr01	1080000	1085000	41
Chr01	1085000	1090000	18
Chr01	1090000	1095000	26
Chr01	1095000	1100000	20
Chr01	1100000	1105000	28
Chr01	1105000	1110000	40
Chr01	1110000	1115000	18
Chr01	1115000	1120000	23
Chr01	1120000	1125000	31
Chr01	1125000	1130000	16
Chr01	1130000	1135000	41
Chr01	1135000	1140000	33
Chr01	1140000	1145000	18
Chr01	1145000	1150000	23
Chr01	1150000	1155000	43
Chr01	1155000	1160000	45
Chr01	1160000	1165000	33
Chr01	1165000	1170000	9
Chr01	1170000	1175000	30
Chr01	1175000	1180000	9
Chr01	1180000	1185000	12
Chr01	1185000	1190000	21
Chr01	1190000	1195000	39
Chr01	1195000	1200000	51
Chr01	1200000	1205000	36
Chr01	1205000	1210000	15
Chr01	1210000	1215000	36
Chr01	1215000	1220000	23
Chr01	1220000	1225000	37
Chr01	1225000	1230000	31
Chr01	1230000	1235000	34
Chr01	1235000	1240000	19
Chr01	1240000	1245000	46
Chr01	1245000	1250000	21
Chr01	1250000	1255000	32
Chr01	1255000	1260000	19
Chr01	1260000	1265000	22
Chr01	1265000	1270000	41
Chr01	1270000	1275000	18
Chr01	1275000	1280000	32
Chr01	1280000	1285000	26
Chr01	1285000	1290000	26
Chr01	1290000	1295000	25
Chr01	1295000	1300000	38
Chr01	1300000	1305000	26
Chr01	1305000	1310000	34
Chr01	1310000	1315000	25
Chr01	1315000	1320000	32
Chr01	1320000	1325000	32
Chr01	1325000	1330000	17
Chr01	1330000	1335000	0
Chr01	1335000	1340000	53
Chr01	1340000	1345000	25
Chr01	1345000	1350000	26
Chr01	1350000	1355000	36
Chr01	1355000	1360000	47
Chr01	1360000	1365000	32
Chr01	1365000	1370000	49
Chr01	1370000	1375000	22
Chr01	1375000	1380000	17
Chr01	1380000	1385000	15
Chr01	1385000	1390000	26
Chr01	1390000	1395000	17
Chr01	1395000	1400000	18
Chr01	1400000	1405000	17
Chr01	1405000	1410000	29
Chr01	1410000	1415000	39
Chr01	1415000	1420000	33
Chr01	1420000	1425000	12
Chr01	1425000	1430000	27
Chr01	1430000	1435000	15
Chr01	1435000	1440000	12
Chr01	1440000	1445000	0
Chr01	1445000	1450000	27
Chr01	1450000	1455000	14
Chr01	1455000	1460000	44
Chr01	1460000	1465000	35
Chr01	1465000	1470000	30
Chr01	1470000	1475000	67
Chr01	1475000	1480000	40
Chr01	1480000	1485000	28
Chr01	1485000	1490000	47
Chr01	1490000	1495000	38
Chr01	1495000	1500000	37
Chr01	1500000	1505000	28
Chr01	1505000	1510000	31
Chr01	1510000	1515000	19
Chr01	1515000	1520000	40
Chr01	1520000	1525000	31
Chr01	1525000	1530000	38
Chr01	1530000	1535000	29
Chr01	1535000	1540000	5
Chr01	1540000	1545000	59
Chr01	1545000	1550000	35
Chr01	1550000	1555000	20
Chr01	1555000	1560000	32
Chr01	1560000	1565000	8
Chr01	1565000	1570000	17
Chr01	1570000	1575000	33
Chr01	1575000	1580000	34
Chr01	1580000	1585000	19
Chr01	1585000	1590000	32
Chr01	1590000	1595000	17
Chr01	1595000	1600000	14
Chr01	1600000	1605000	0
Chr01	1605000	1610000	29
Chr01	1610000	1615000	5
Chr01	1615000	1620000	29
Chr01	1620000	1625000	14
Chr01	1625000	1630000	22
Chr01	1630000	1635000	43
Chr01	1635000	1640000	28
Chr01	1640000	1645000	52
Chr01	1645000	1650000	24
Chr01	1650000	1655000	13
Chr01	1655000	1660000	37
Chr01	1660000	1665000	36
Chr01	1665000	1670000	17
Chr01	1670000	1675000	21
Chr01	1675000	1680000	29
Chr01	1680000	1685000	40
Chr01	1685000	1690000	19
Chr01	1690000	1695000	29
Chr01	1695000	1700000	17
Chr01	1700000	1705000	25
Chr01	1705000	1710000	28
Chr01	1710000	1715000	37
Chr01	1715000	1720000	22
Chr01	1720000	1725000	31
Chr01	1725000	1730000	23
Chr01	1730000	1735000	26
Chr01	1735000	1740000	45
Chr01	1740000	1745000	31
Chr01	1745000	1750000	19
Chr01	1750000	1755000	22
Chr01	1755000	1760000	47
Chr01	1760000	1765000	53
Chr01	1765000	1770000	23
Chr01	1770000	1775000	20
Chr01	1775000	1780000	26
Chr01	1780000	1785000	5
Chr01	1785000	1790000	17
Chr01	1790000	1795000	44
Chr01	1795000	1800000	46
Chr01	1800000	1805000	17
Chr01	1805000	1810000	29
Chr01	1810000	1815000	26
Chr01	1815000	1820000	32
Chr01	1820000	1825000	37
Chr01	1825000	1830000	8
Chr01	1830000	1835000	35
Chr01	1835000	1840000	22
Chr01	1840000	1845000	19
Chr01	1845000	1850000	34
Chr01	1850000	1855000	20
Chr01	1855000	1860000	22
Chr01	1860000	1865000	49
Chr01	1865000	1870000	25
Chr01	1870000	1875000	23
Chr01	1875000	1880000	33
Chr01	1880000	1885000	21
Chr01	1885000	1890000	38
Chr01	1890000	1895000	44
Chr01	1895000	1900000	48
Chr01	1900000	1905000	27
Chr01	1905000	1910000	27
Chr01	1910000	1915000	29
Chr01	1915000	1920000	41
Chr01	1920000	1925000	17
Chr01	1925000	1930000	36
Chr01	1930000	1935000	23
Chr01	1935000	1940000	23
Chr01	1940000	1945000	65
Chr01	1945000	1950000	41
Chr01	1950000	1955000	28
Chr01	1955000	1960000	17
Chr01	1960000	1965000	23
Chr01	1965000	1970000	67
Chr01	1970000	1975000	28
Chr01	1975000	1980000	50
Chr01	1980000	1985000	43
Chr01	1985000	1990000	50
Chr01	1990000	1995000	24
Chr01	1995000	2000000	35
Chr01	2000000	2005000	11
Chr01	2005000	2010000	15
Chr01	2010000	2015000	0
Chr01	2015000	2020000	45
Chr01	2020000	2025000	9
Chr01	2025000	2030000	0
Chr01	2030000	2035000	50
Chr01	2035000	2040000	31
Chr01	2040000	2045000	60
Chr01	2045000	2050000	48
Chr01	2050000	2055000	11
Chr01	2055000	2060000	42
Chr01	2060000	2065000	32
Chr01	2065000	2070000	41
Chr01	2070000	2075000	39
Chr01	2075000	2080000	14
Chr01	2080000	2085000	23
Chr01	2085000	2090000	33
Chr01	2090000	2095000	21
Chr01	2095000	2100000	26
Chr01	2100000	2105000	29
Chr01	2105000	2110000	15
Chr01	2110000	2115000	33
Chr01	2115000	2120000	26
Chr01	2120000	2125000	74
Chr01	2125000	2130000	54
Chr01	2130000	2135000	39
Chr01	2135000	2140000	33
Chr01	2140000	2145000	45
Chr01	2145000	2150000	22
Chr01	2150000	2155000	7
Chr01	2155000	2160000	28
Chr01	2160000	2165000	26
Chr01	2165000	2170000	20
Chr01	2170000	2175000	29
Chr01	2175000	2180000	19
Chr01	2180000	2185000	43
Chr01	2185000	2190000	28
Chr01	2190000	2195000	32
Chr01	2195000	2200000	32
Chr01	2200000	2205000	22
Chr01	2205000	2210000	102
Chr01	2210000	2215000	23
Chr01	2215000	2220000	41
Chr01	2220000	2225000	19
Chr01	2225000	2230000	30
Chr01	2230000	2235000	38
Chr01	2235000	2240000	41
Chr01	2240000	2245000	36
Chr01	2245000	2250000	38
Chr01	2250000	2255000	17
Chr01	2255000	2260000	55
Chr01	2260000	2265000	32
Chr01	2265000	2270000	34
Chr01	2270000	2275000	59
Chr01	2275000	2280000	73
Chr01	2280000	2285000	29
Chr01	2285000	2290000	37
Chr01	2290000	2295000	42
Chr01	2295000	2300000	21
Chr01	2300000	2305000	50
Chr01	2305000	2310000	41
Chr01	2310000	2315000	44
Chr01	2315000	2320000	25
Chr01	2320000	2325000	31
Chr01	2325000	2330000	20
Chr01	2330000	2335000	17
Chr01	2335000	2340000	26
Chr01	2340000	2345000	24
Chr01	2345000	2350000	51
Chr01	2350000	2355000	20
Chr01	2355000	2360000	22
Chr01	2360000	2365000	0
Chr01	2365000	2370000	44
