chr	start	end	value1	gene
Chr01	2739784	2739902	1	5S
Chr01	3464775	3464893	1	5S
Chr04	1515358	1515476	1	5S
Chr05	906882	907000	1	5S
Chr05	1264975	1265093	1	5S
Chr05	2312498	2312616	1	5S
Chr05	2411414	2411532	1	5S
Chr06	1646844	1646962	1	5S
Chr06	1884308	1884426	1	5S
Chr07	534295	534413	1	5S
Chr09	1838439	1838557	1	5S
Chr10	417654	417772	1	5S
Chr10	544901	545019	1	5S
Chr10	841791	841909	1	5S
Chr10	1457404	1457522	1	5S
Chr10	2091379	2091497	1	5S
Chr11	624369	624487	1	5S
Chr12	284416	284534	1	5S
Chr13	865036	865154	1	5S
Chr13	1279820	1279938	1	5S
Chr14	1091815	1091932	1	5S
Chr15	1739568	1739686	1	5S
Chr16	1398786	1398904	1	5S
Chr16	1827563	1827681	1	5S
Chr03	3341327	3342788	1	5.8S
Chr03	3350346	3351807	1	5.8S
Chr03	3359365	3360826	1	5.8S
Chr03	3368384	3369845	1	5.8S
Chr03	3377406	3378867	1	5.8S
Chr03	3386383	3387844	1	5.8S
Chr03	3395377	3396838	1	5.8S
Chr03	3404395	3405854	1	5.8S
