chr	start	end	value
Chr01	1	5000	0.354
Chr01	5000	10000	0.44
Chr01	10000	15000	0.4332
Chr01	15000	20000	0.4834
Chr01	20000	25000	0.4506
Chr01	25000	30000	0.4744
Chr01	30000	35000	0.4548
Chr01	35000	40000	0.4588
Chr01	40000	45000	0.4644
Chr01	45000	50000	0.4688
Chr01	50000	55000	0.4488
Chr01	55000	60000	0.4458
Chr01	60000	65000	0.4378
Chr01	65000	70000	0.4336
Chr01	70000	75000	0.4502
Chr01	75000	80000	0.4668
Chr01	80000	85000	0.4796
Chr01	85000	90000	0.4428
Chr01	90000	95000	0.4394
Chr01	95000	100000	0.4384
Chr01	100000	105000	0.4732
Chr01	105000	110000	0.4774
Chr01	110000	115000	0.4572
Chr01	115000	120000	0.451
Chr01	120000	125000	0.4362
Chr01	125000	130000	0.4438
Chr01	130000	135000	0.4296
Chr01	135000	140000	0.4394
Chr01	140000	145000	0.4314
Chr01	145000	150000	0.4418
Chr01	150000	155000	0.4646
Chr01	155000	160000	0.4574
Chr01	160000	165000	0.4752
Chr01	165000	170000	0.474
Chr01	170000	175000	0.4522
Chr01	175000	180000	0.4712
Chr01	180000	185000	0.4946
Chr01	185000	190000	0.4428
Chr01	190000	195000	0.4144
Chr01	195000	200000	0.4562
Chr01	200000	205000	0.467
Chr01	205000	210000	0.4336
Chr01	210000	215000	0.4282
Chr01	215000	220000	0.4358
Chr01	220000	225000	0.4106
Chr01	225000	230000	0.4662
Chr01	230000	235000	0.4682
Chr01	235000	240000	0.4486
Chr01	240000	245000	0.4732
Chr01	245000	250000	0.4848
Chr01	250000	255000	0.5066
Chr01	255000	260000	0.4688
Chr01	260000	265000	0.4448
Chr01	265000	270000	0.4266
Chr01	270000	275000	0.4446
Chr01	275000	280000	0.454
Chr01	280000	285000	0.4706
Chr01	285000	290000	0.4684
Chr01	290000	295000	0.4468
Chr01	295000	300000	0.4248
Chr01	300000	305000	0.4198
Chr01	305000	310000	0.4556
Chr01	310000	315000	0.4996
Chr01	315000	320000	0.4476
Chr01	320000	325000	0.4594
Chr01	325000	330000	0.4464
Chr01	330000	335000	0.4578
Chr01	335000	340000	0.4566
Chr01	340000	345000	0.4518
Chr01	345000	350000	0.4174
Chr01	350000	355000	0.5132
Chr01	355000	360000	0.44
Chr01	360000	365000	0.4494
Chr01	365000	370000	0.4204
Chr01	370000	375000	0.4892
Chr01	375000	380000	0.4496
Chr01	380000	385000	0.433
Chr01	385000	390000	0.4356
Chr01	390000	395000	0.4276
Chr01	395000	400000	0.3694
Chr01	400000	405000	0.2758
Chr01	405000	410000	0.3382
Chr01	410000	415000	0.3582
Chr01	415000	420000	0.436
Chr01	420000	425000	0.5128
Chr01	425000	430000	0.5026
Chr01	430000	435000	0.4638
Chr01	435000	440000	0.4436
Chr01	440000	445000	0.4212
