chr	start	end	name	gieStain
Chr01	1	50000		gpos100
Chr01	4340528	4390527		gpos100
Chr02	1	50000		gpos100
Chr02	3510445	3560444		gpos100
Chr03	1	50000		gpos100
Chr03	3456081	3506080		gpos100
Chr04	1	50000		gpos100
Chr04	3414068	3464067		gpos100
Chr05	1	50000		gpos100
Chr05	3179534	3229533		gpos100
Chr06	1	50000		gpos100
Chr06	2925081	2975080		gpos100
Chr07	1	50000		gpos100
Chr07	2874876	2924875		gpos100
Chr08	2777892	2827891		gpos100
Chr09	1	50000		gpos100
Chr09	2677825	2727824		gpos100
Chr10	1	50000		gpos100
Chr10	2511731	2561730		gpos100
Chr11	1	50000		gpos100
Chr11	2387228	2437227		gpos100
Chr12	1	50000		gpos100
Chr12	2380830	2430829		gpos100
Chr13	1	50000		gpos100
Chr13	2341392	2391391		gpos100
Chr14	1	50000		gpos100
Chr14	2294260	2344259		gpos100
Chr15	1	50000		gpos100
Chr15	2279348	2329347		gpos100
Chr16	2195250	2245249		gpos100
Chr01	2170000	2245000		gpos50
Chr02	1570000	1595000		gpos50
Chr03	1070000	1105000		gpos50
Chr04	1230000	1260000		gpos50
Chr05	1570000	1600000		gpos50
Chr06	1015000	1070000		gpos50
Chr07	1120000	1150000		gpos50
Chr08	2160000	2190000		gpos50
Chr09	1075000	1110000		gpos50
Chr10	1300000	1315000		gpos50
Chr11	785000	815000		gpos50
Chr12	300000	320000		gpos50
Chr13	2015000	2050000		gpos50
Chr14	920000	950000		gpos50
Chr15	490000	515000		gpos50
Chr16	1490000	1520000		gpos50
