Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	4061651	4246045	5	1374357	1288265	E69F00
1	524900	643145	2	2798001	2663303	E69F00
1	885810	1174847	13	2315142	2129224	E69F00
1	2850192	4288340	1	781252	2266650	cccccc
2	3010598	3515293	5	523206	114312	E69F00
2	54854	56126	2	24532	25816	cccccc
2	104663	106463	2	64118	65914	cccccc
2	292727	377874	2	440049	408002	E69F00
2	692795	695304	2	511739	509237	E69F00
2	868660	2601997	2	632117	2382870	cccccc
3	240066	2717985	3	170945	2772059	cccccc
3	3331948	3333781	9	2679030	2680866	cccccc
3	2780761	3463171	6	1701552	2280562	cccccc
4	160304	161688	4	88665	87281	E69F00
4	304029	305787	4	309208	307453	E69F00
4	582424	746405	4	960872	788180	E69F00
4	1292159	3099099	4	1162742	3077515	cccccc
4	190777	204771	9	2311333	2336758	cccccc
4	842000	846138	10	181602	177677	E69F00
5	681976	1323780	5	1500041	2086960	cccccc
5	1385533	1921931	5	2630773	2129000	E69F00
5	1929414	2208290	5	2607560	2881910	cccccc
5	2230321	2390891	5	3114954	2934538	E69F00
5	2414032	3055614	5	3137543	3461723	cccccc
5	2897221	3167833	16	1860575	2235793	cccccc
6	1901050	2921710	3	2820675	3723844	cccccc
6	35558	49109	4	403656	417044	cccccc
6	246030	248136	4	313829	315906	cccccc
6	518896	529355	4	146303	137790	E69F00
6	145256	152043	8	436432	444032	cccccc
6	281040	1777976	6	199750	1659467	cccccc
7	57430	2871241	7	43177	2797777	cccccc
8	132587	2601090	8	61108	2274520	cccccc
9	2188612	2274370	5	218720	320434	cccccc
9	204310	2649342	9	86229	2655653	cccccc
10	103777	893118	10	53844	1078152	cccccc
10	933741	992896	10	975717	913635	E69F00
10	1014184	1883994	10	1108958	1979867	cccccc
10	2151206	2152239	10	2283463	2282429	E69F00
10	2484523	2486535	10	2476441	2474444	E69F00
11	41261	2345988	11	34345	2291059	cccccc
12	27051	1935277	12	35562	2013477	cccccc
13	26712	1736736	13	43597	1668653	cccccc
14	1410329	1620173	1	736175	506907	E69F00
14	463780	472549	14	617261	609580	E69F00
14	744810	1372143	14	838147	1606304	cccccc
14	1679246	1700956	14	241833	263547	cccccc
15	192322	194953	5	702546	700175	E69F00
15	48092	49122	15	24813	25846	cccccc
15	336366	337781	15	262036	263456	cccccc
15	461036	578261	15	442607	550196	cccccc
15	600463	771353	15	914378	747894	E69F00
15	1024189	1209014	15	1064213	1325901	cccccc
15	1232470	1234705	15	939393	937163	E69F00
15	1242880	1267154	15	569249	580672	cccccc
15	1302970	1698760	15	1368651	1791096	cccccc
15	1768876	2241349	14	1755531	2152677	cccccc
16	64699	587026	16	80431	452078	cccccc
16	630859	792710	16	636969	480112	E69F00
16	821970	849783	16	661616	685055	cccccc
16	901356	1104073	16	944984	754683	E69F00
16	1173809	1377194	16	1221812	1016909	E69F00
16	1440196	1830196	16	1293721	1589548	cccccc
