Chr	Start	End	fill	species	size	color
Chr01	0	4390527	56B4E9	A_aurelia	12	000000
Chr02	0	3560444	56B4E9	A_aurelia	12	000000
Chr03	0	3506080	56B4E9	A_aurelia	12	000000
Chr04	0	3464067	56B4E9	A_aurelia	12	000000
Chr05	0	3229533	56B4E9	A_aurelia	12	000000
Chr06	0	2975080	56B4E9	A_aurelia	12	000000
Chr07	0	2924875	56B4E9	A_aurelia	12	000000
Chr08	0	2827891	56B4E9	A_aurelia	12	000000
Chr09	0	2727824	56B4E9	A_aurelia	12	000000
Chr10	0	2561730	56B4E9	A_aurelia	12	000000
Chr11	0	2437227	56B4E9	A_aurelia	12	000000
Chr12	0	2430829	56B4E9	A_aurelia	12	000000
Chr13	0	2391391	56B4E9	A_aurelia	12	000000
Chr14	0	2344259	56B4E9	A_aurelia	12	000000
Chr15	0	2329347	56B4E9	A_aurelia	12	000000
Chr16	0	2245249	56B4E9	A_aurelia	12	000000
Chr12	0	2309148	F0E442	A_aurata	12	000000
Chr04	0	3195127	F0E442	A_aurata	12	000000
Chr01	0	3758135	F0E442	A_aurata	12	000000
Chr03	0	3411106	F0E442	A_aurata	12	000000
Chr02	0	3573447	F0E442	A_aurata	12	000000
Chr11	0	2352741	F0E442	A_aurata	12	000000
Chr05	0	2907885	F0E442	A_aurata	12	000000
Chr09	0	2465287	F0E442	A_aurata	12	000000
Chr07	0	2695373	F0E442	A_aurata	12	000000
Chr08	0	2518662	F0E442	A_aurata	12	000000
Chr10	0	2372790	F0E442	A_aurata	12	000000
Chr14	0	2227591	F0E442	A_aurata	12	000000
Chr06	0	2746486	F0E442	A_aurata	12	000000
Chr15	0	2164952	F0E442	A_aurata	12	000000
Chr16	0	2123937	F0E442	A_aurata	12	000000
Chr13	0	2256029	F0E442	A_aurata	12	000000
