chr	start	end	name	gieStain
Chr01	1040000	1070000		gpos50
Chr02	785000	905000		gpos50
Chr03	1460000	1500000		gpos50
Chr04	1340000	1380000		gpos50
Chr05	1080000	1105000		gpos50
Chr06	1340000	1375000		gpos50
Chr07	885000	915000		gpos50
Chr08	1415000	1450000		gpos50
Chr09	1255000	1285000		gpos50
Chr10	980000	1005000		gpos50
Chr11	1185000	1220000		gpos50
Chr12	1115000	1145000		gpos50
Chr13	1340000	1370000		gpos50
Chr14	345000	375000		gpos50
Chr15	545000	595000		gpos50
Chr16	450000	480000		gpos50
Chr01	1	50000		gpos100
Chr01	3708136	3758135		gpos100
Chr02	1	50000		gpos100
Chr02	3523448	3573447		gpos100
Chr03	1	50000		gpos100
Chr04	1	50000		gpos100
Chr04	3145128	3195127		gpos100
Chr05	1	50000		gpos100
Chr05	2857886	2907885		gpos100
Chr06	1	50000		gpos100
Chr06	2696487	2746486		gpos100
Chr07	1	50000		gpos100
Chr07	2645374	2695373		gpos100
Chr08	1	50000		gpos100
Chr08	2468663	2518662		gpos100
Chr09	1	50000		gpos100
Chr09	2415288	2465287		gpos100
Chr10	1	50000		gpos100
Chr10	2322791	2372790		gpos100
Chr11	1	50000		gpos100
Chr11	2302742	2352741		gpos100
Chr12	1	50000		gpos100
Chr12	2259149	2309148		gpos100
Chr13	1	50000		gpos100
Chr13	2206030	2256029		gpos100
Chr14	1	50000		gpos100
Chr14	2177592	2227591		gpos100
Chr15	1	50000		gpos100
Chr15	2114953	2164952		gpos100
Chr16	1	50000		gpos100
Chr16	2073938	2123937		gpos100
