chr	start	end	value1	gene
Chr01	3485787	3485905	1	5S
Chr03	235754	235872	1	5S
Chr03	3047763	3047881	1	5S
Chr04	906676	906794	1	5S
Chr05	2402186	2402304	1	5S
Chr08	1203108	1203226	1	5S
Chr10	291592	291710	1	5S
Chr10	1010957	1011075	1	5S
Chr10	2029982	2030100	1	5S
Chr11	309808	309926	1	5S
Chr11	963331	963449	1	5S
Chr11	1352202	1352320	1	5S
Chr11	2370509	2370627	1	5S
Chr13	416030	416148	1	5S
Chr14	377173	377291	1	5S
Chr15	1519229	1519347	1	5S
Chr15	1930068	1930186	1	5S
Chr16	760703	760821	1	5S
Chr16	1790287	1790405	1	5S
Chr08	5889	7726	1	5.8S
Chr08	18049	19887	1	5.8S
Chr08	30209	32047	1	5.8S
Chr08	42368	44206	1	5.8S
Chr08	54526	56363	1	5.8S
